timestamp,speaker,words,tags,
[0:00:01],Rebecca Scofield,"Okay, so this is Rebecca Scofield and I am here with Desirey. It's May 13th 2017 and we're at the hot rodeo outside Palm Springs. So can you tell what year you were born?",childhood,
[0:00:16],Desirey Benevides,"Yup, November 7th 1959.",childhood,
[0:00:20],RS,And where did you grow up?,childhood,
[0:00:22],D,"Predominantly in Lakewood. I actually started off in Long Beach, and then around my 4th grade year is when we moved to Lakewood. That's where I went to school and graduated from Lakewood High.",childhood,
[0:00:36],RS,"Did you guys live sort of in town, did you own property?",childhood;parents,
[0:00:42],D,"My Dad, we had a house in Lakewood and was there with my Mom, my Dad and then I have a younger brother, we're a year and a half apart, my younger brother. ",childhood;parents;family,
[0:00:53],RS,"What did your parents do, for a living for most of your childhood?",childhood;parents,
,D,"My mom was a housewife and my dad worked for GTE, and then around my junior high years is when they got divorced after 20 years of marriage. Then my mom ended up having to, you know, go to work, so then she was a waitress.",childhood;parents,
,RS,Did you spend much time around animals when you were growing up?,childhood;family,
,D,"No, typically dogs, that type of stuff. My parents are from south Texas, which is in Kingsville which is is owned by the Kings ranch. I remember a couple times going out to King ranch because I think, my grandfather, on my mom's side, he used to work at the King ranch, so we used to go out there, but we didn't play with steers or any of that thing. Typically growing up was always like being a cowboy, dressing as Roy Rogers and Zorro or something like that.",childhood;family,
,RS,"That's nice. So, can you tell me how you identify in terms of gender and sexuality?",community,
,D,"Well I mean, I had my surgeries so I am a female, but I mean I still am part of the transgender community. So people ask, yes, I am transgender. Though I don't, I don't try to label myself as being transgender because you spend 35,000 plus to became a female, it's what you wanted to do so why I wanna tell people. Sometimes it happens and people, you know, ""Well, how come your voice is so deep"" or ""How come you dress as a guy when you're at work?"" I work at the postal service, I'm an  area maintenance specialist, and I'm doing kinda guy work. They're like you kinda act like a guy sometimes and I'm like okay whatever, it's my, my job. But, no I, somebody says I'm female. Course kids, they're really hard to trick, adults are not too... you know it's usually pretty easy for adults unless I'm on the phone or something and they're like ""Yes sir"", and I'm like, ""No, it's ma'am"", but kids are always like, ""You're a guy"". *jokingly* I'm like ""Shut up; go away, Where's your parents? Get away from me."" But no, I typically try to identify as a female but when people ask, yes I'm part of the transgender community and I try to support it and help out in any way I can.",community;jobs,
,RS,How did your relationship with your gender identity manifest as a child?,childhood;family;parents,
,D,"Growing up... I always was, I guess there was just something that was a little bit different. I remember stealing some of my cousin's cloths, I was always jealous of her. Her name's Else. Anyways I was always jealous of her and so one time I stole some of her clothes. And then in my 4th grade year is when I almost got found out, because I had hid her clothes underneath my mattress. My mom used to flip mattresses every spring, you know, the flipping of the mattress, and found them and confronted me with it. I was like, I don't know how they got there, talk to Else. Else got in trouble for it, I told her later on in the years, ""Sorry,"" for about those spankings you got. But... it's interesting because... once my parents got divorced and I really started dressing because my mom was never home, she was like I said a waitress, during the day she was a waitress at night she was a cocktail waitress, she had to do two jobs. So, mom was gone, my brother was a jock, so he was out, so I'd dress up in my mom's clothes and was like, ""Oh yeah, this is great."" But, it was... it was interesting cause later on in the years after my mom had passed, my mom passed about a month after I had my surgery, I was talking to one of my, Comadre -- my Mom's best friend, and her names Yolanda; she lives in south Texas. And I was talking about her and she goes, ""Yeah, you and your mom and I we used to talk about you we knew something was different with you"", and I was like, ""Why didn't you tell me, why did you wait till I was 40 some years old before I find out, I have this, this certain part of me that needed to be expressed. Not 40 even early, I mean I was, I was way into it before that. Even, even to realize that they saw it... the way that I sat, the way that I acted, the way that I, I'm like ""Okay, I'll come,"" but of course when you're growing up in a Hispanic type family, even though my dad forbid any kind of Mexican type stuff, it was predominantly machismo type things. I did all the boy stuff growing up: play sports, was a boy scout and did all that kind of stuff. Up until the time when my parents finally got divorced, I wasn't a jock. I did the sports like in the park league, I never got into the school league. I played in the band. I was a trumpet player, so did that kind of stuff. My brother was the jock of the family and that kind of stuff.",childhood;family;parents,
,RS,And after you graduated high school what did you do?,jobs;family;homophobia,
,D,"Wow, after I graduated from high school I moved to Redding with my mom and the guy I call my step-Father, we opened up a Mexican restaurant, I played soccer in Redding. I met my first wife, knew we were getting serious, and had kept my dressing pretty well, under cover -- it was like closet type stuff. Went into the military, joined the Air Force in '79. Pretty much put my dressing on hold throughout that period of my life. Then shortly into my military career, she went somewhere, I don't know where she came and she came home early and caught me and oh god the shit hit the fan. And so anyways shortly thereafter we ended up getting a divorce ourselves.",jobs;family;homophobia,
,RS,Was your dressing the main reason for the divorce?,transphobia,
