timestamp,speaker,words,tags,
[00:00:00],Rebecca Scofield,"This is Rebecca Scofield, I'm here with Roger Bergmann, past IGRA president. It's November 19th and we are at the International Gay Rodeo Association Annual Convention 2016. And yeah, could you tell me a little about where you grew up?",,
,Roger Bergmann,"I grew up in Northwest Montana, in Kalispell, Montana, near Glacier National Park. And, as a youth, my parents never went to the annual county fair, but I would ride my bicycle to the fair in August every year and leave it leaning against the fence and stay there all day for the four days. And there would be a rodeo on the weekends and I'd go in and watch the rodeos.",childhood;parents,
,RS,What did your parents do for a living?,parents,
,RB,"My dad was a full time meat cutter, had his own meat shop inside of a small grocery store. And my mom worked as a secretary at various small businesses around town after I was about 6 years old.",parents;jobs,
,RS,Did you guys live in town?,,
,RB,"We lived in town, only like a half a block from the downtown area of Kalispell, which when I was growing up it was about a town of 15,000 people. Now it's probably about 45,000.",childhood,
,RS,"Wow, did you stay in the area after high school or?",,
,RB,"I was there until I was 21 and I had gone to the University of Montana, I graduated from college in 1971. The Vietnam War was still going on but I had applied for a conscientious objector’s status with the selective service and was granted that. I thought I would be drafted because at that time they were doing a lottery system for people being drafted and the ping pong balls…it's just like lotto, they had numbers on ping pong balls and my April 18th birthday came up as number ninety—so I knew I would likely be drafted. So instead of waiting for the draft to happen, there was a period where—it was very confusing, but the selective service law had lapsed but I knew it was going to be re-instituted by congress so I went ahead and volunteered for my alternate service, and ended up going to California for the alternate service for something called the California Ecology Core, which is now the California Conservation Corps.",jobs,
,RS,"Wow, so you were really coming up in the thick of it there.",,
,RB,"Yeah, at the time I did not realize or accept the fact that I was gay or I could have gotten that for a deferment for the selective service. But, I did get deferred as a conscientious objector.",,
,RS,And were you involved in any relationships at the time?,,
,RB,"Uh no, I didn't actually come out, even going into a gay bar until I was almost 31. And I ended up in a long distance relationship with someone when I was probably close to 40.",comingout,
,RS,And where did you move to when you left Montana?,,
,RB,"Well, I was yeah, when I left Montana for this alternate service it was in Bishop, California. Bishop was a small town of about 8,000 people and outside of it was this California Division of Forestry Center and it had previously been a minimum security prison camp for people to fight fire but in the early 70s, California courts were realizing minimum security prisons back onto the street so they had four of these camps that hold 80 people were empty so Governor Ronald Reagan and the state of California created the California Ecology Corps so they could fill up these centers to have bodies to fight wildfires and do public works projects when there weren't fires.",jobs,
,,...,,
,RS,"... So during this career you're doing, were you starting to grapple with your sexuality at all? What was the sort of culture like?",,
[00:10:01],RB,"Well, the Forest Service is a fairly conservative organization, especially when I first started. It was about 1977 that I became full time with the Forest Service rather than seasonal jobs. And at this point I still had not accepted my own sexuality, it was about 1981 that I finally went into my first gay bar. And I was nervous as could be when I was going in. It was a bar called the Eye Beam in San Francisco and I loved to dance, so I would always go out there, I wanted to be ready to dance at nine o’clock nobody goes out ‘til 10:30 but I'm there early. But as soon as I got into the bar and walked around there were a few pool tables and people playing pool and I felt totally comfortable and at ease and, felt that yes, it's not just a curiosity. I am gay.",comingout;community;highlight,
,RS,"And did being in that look, that community make that better for you? Make it…?",community,
,RB,"It made it better for me in my mind, but I was still closeted with my friends and family. But I quickly told my best friend who lived in Bishop and my sister about a year later and my parents about three years after I first went into the bar, I was about thirty four I guess when I told my parents.",family;comingout,
,RS,And how did your family take the news?,family,
,RB,"My sister, no problem. My parents, really no problem. It stunned them, but there was no rejection. My father thought and verbalized, “Oh this is just a phase, a curiosity, it'll pass you'll get married someday.” And I said, “No, that's not going to happen.” But there were no problems. My mother discussed things about my relationships throughout the years, my father never really talked about it. I didn't push the subject with him but we had a very good relationship. I know he loved me, I was with him the last three months of his life, helping take care of him every day, and it was, I feel really fortunate with the family that I have.",family;comingout;parents,
,RS,So how did you first hear of a gay rodeo?,,
,RB,"Well, after I had gone into my first bar in 1981, in San Francisco I saw a flyer on the wall for the National Reno Gay Rodeo which was the first gay rodeos that were held. They started in 1976, I believe it was, by a man named, Phil Ragsdale, in Reno, Nevada. And I went to the rodeo in August of 1981 shortly after I had gone into my first bar, because of the flyer that I had seen. So there were about 8,000 people in the stands. There was only one gay rodeo a year at that time and that was in Reno. A lot of people from San Francisco and Los Angeles would get up there for the rodeo. And I went, from 1981, I went every year until they closed. They had their last rodeo which I think was 1985, I believe. They started in ‘76 and they had nine rodeos before they ended up going into bankruptcy and not having another rodeo. But by that time, it was probably about 1983, I was at a parking lot country western dance there during the rodeo weekend and I heard a couple of people talking next to me and I didn't know who they were, and I didn't approach them but, one man had a very melodic voice, I mean it was a voice you could not mistake. And I found out later that it was Wayne Jakino who was a co-owner of Charlie's in Denver, Colorado, and he became one of the first rodeo announcers for the International Gay Rodeo Association. And he was also the founding president of the IGRA. And he had had a voice that was unmistakable and just really pleasant announcing voice. But I heard him talking about the group from Colorado and how they had to get more people to come out to Reno for the rodeo.",igra;rodeo,
,RS,That's amazing. What would an average weekend at the Reno rodeo look like? What were you doing?,,
[00:14:50],RB,"That I'm not going to talk about. [Laughter]. Those weekends were pretty wild. That was a just at the beginning of the AIDS epidemic. I came out to my first bar in 1981, and it was shortly after that I picked up a San Francisco…I can't remember what the…The Bay Guardian, Baysomething…the gay newspaper up there, and they still didn't call it AIDS it was just this, “the gay disease” and some other kind of non-specific name. Nobody knew what was causing it or anything. But there were the dances, I would go to the country western dances at the local bars, they didn't have anything really at the rodeo grounds the first year. But then Joan Rivers was the grand marshal for one of the events, and they did have a big night time party at the Washoe County Fairgrounds after the rodeo with Joan Rivers there. And that was where the first concept for the Mister and Miss and Ms IGRA came from, but they only did a Miss competition at the National Reno Gay Rodeo. And they would raise money starting in 1976, they were raising it for muscular dystrophy mainly. And then later on they also raised money for the local senior community and the seniors would come out and help at the rodeo.",community;highlight;igra;royaltycompetition;dance;aids,
,RS,Now as it started to grow and become more of an association were you involved with that?,,
,RB,"As I said, the Reno rodeo ended in about 1985 or probably ‘84 at that last rodeo I, the Sands Hotelin Reno was the host hotel and a gay group called Great Outdoors was hosting a dinner for just anybody that wanted to go on Friday night. So I went to the dinner and ended up at a table of eight sitting next to Al Bell and his partner Pat McGrath who were just getting ready to open up a country western dance bar in Long Beach, California and so I was visiting with them throughout this period of this dinner and I told them I was an avid country western dancer so I got to know them and started going to their bar shortly after it opened. And Al Bell was the founding president of the Golden State Gay Rodeo Association, GSGRA, and even though I lived about five hours from Long Beach, I didn't really go to their meetings but I got involved I became a founding member of the Golden State Gay Rodeo Association. And went to their first gay rodeo in March of 1985 and in September of 1985 was the first IGRA convention that was held in Denver, Colorado and the four founding groups, Colorado, Golden State—California—Arizona Gay Rodeo Association and New Mexico and also Oklahoma was there to be seated as the 5th group in September of 1985. I went to that convention only knowing Al Bell, really and I sat in the back of the room and wasn't even sure if I was allowed to be there. But nobody said anything about I couldn't be there and I met John King who was the president of Arizona Gay Rodeo Association at the time. And a number of people and kind of was brought into the fold. John King has been a good friend ever since. Al Bell has passed away a number of years ago. But so I was at that first convention and  had a good time meeting people and seeing the organization of the International Gay Rodeo Association.",highlight;igra;,Conventions?
,RS,So how many people total were probably at that first convention?,,
,RB,Oh that first convention there were probably less than thirty maybe and most of them were probably from Denver. I mean there were a few people from each of the four founding associations and and Oklahoma which was the fifth that came in that same year.,,
,RS,Now do you like all forms of dance or country western most particularly?,,
,RB,"I like all forms of dance but I mean when I was in the 6th or 7th grade, a lot of people went to our church and learned how to do the Fox Trot and the Waltz and the two step and then we all went to the school dance and did none of that.",dancemusic,
[00:20:08],RS,Yep and so as the rodeo got underway with the association did they usually have dances along with them?,,
,RB,"There were only four rodeos that first year, really. And dance was very popular, country western dance was extremely popular in the mid-80s to about 1997 there was a lot of country western dance, a lot of country western gay bars, and that's where we drew most of our spectators from so—and that was before there were a gay cruises and gay travel companies and a lot of other options, so the fact that the gay rodeo association had had come out and we were having four rodeos and then five rodeos and then six rodeos a year a lot of these dancers would plan on going to those rodeo events because each of them would have a good country western dance usually at the host hotel.",events;dancemusic,
,RS,And why do you think country western was so popular at that time?,,
,RB,"I honestly don't know how it happened. I mean, I grew up in Montana and I hated country western music. When I was living in Bishop, California, it was a five hour drive to get to Los Angeles but I went down there in…you know I came out in the spring of ‘81, Valentine's Day weekend was my first time in a gay bar. In June, I went to the gay pride event in Los Angeles, and I heard some people talking about this place that they'd gone to the night before and they talked for thirty minutes about how much fun it was and everything and before they told the name of the bar and that it was a country western bar and so I went there that night. It was called the New Town Saloon on Santa Monica Boulevard. And it had swinging doors just like a saloon, but I stood outside for a minute looking in at everybody dancing and then I went in after I had saw how much everybody is smiling and having a great time, so I went in and a I saw this guy I'm 6 foot 2 and this guy was about 6 foot 5. And he was leading people in a good dance and so I asked if he would teach me how to dance. First I complimented him on how good he was so that he would feel obligated to dance with me. But he took me around and showed me how to do the two step and I fell in love with it right away it was everybody was having so much fun. And probably just a few weeks after that weekend I had to go back to Pasadena for a week of training for the Forest Service and every night I drove over to West Hollywood and learned more about how to dance, learned how to lead instead of just follow.",community;dancemusic,
,RS,And you said you started to have a long distance relationship?,,
,RB,"Yes, that was with somebody from Seattle. At that time we had a Northwest Gay Rodeo Association, it doesn't exist any longer but I had actually gone I had an older friend who traveled a lot he had an extra discount ticket to fly up to anywhere, so we flew up to Seattle for the weekend. We had heard about this great country western bar in Seattle called the Timberland, which had been they were in an old lodge building of some sort that had this beautiful wooden floor and all four sides of it were these chairs for the officers of this moose lodge or whatever, elks club, or whatever it had been it was it was a beautiful old building with this huge dance floor and we went up there for the weekend and my first night there I saw this blonde, blue-eyed boy dancing the line dance and beautiful smile and having a great time. So I asked him to dance and we danced the rest of the night and the rest of the weekend and every rodeo I would go to by this time I was a rodeo judge, but so I would be going to all the rodeos and he would travel to the rodeos and meet me and then I would fly up to Seattle for a weekend or he would fly to Los Angeles for a weekend. But he had a good job with Boeing, and didn't want to quit and leave and I had a good job a with Forest Service and didn't want to quit that or transfer so it was a long distance relationship for a few years until he passed away from AIDS.",dance;aids,
,RS,And what year did you meet him in?,,
[00:25:00],RB,"Uh, that was probably about 1992.",,
,RS,"And so, you were getting more and more involved?",,
,RB,"Yes, we skipped the part where ‘85 I went to my first Los Angles rodeo and I did travel to all of the rodeos as a dancer and spectator that year of 1985. In 1986, I went to the rodeo and there was a sign on the door as I walked in saying that they were looking for people that wanted to judge the gay rodeos, well when I was growing up in Montana, and even in to high school, I would go to the local rodeo and I would try to guess what the scores were going to be. You know, I didn't know anything about how the judging took place but I would see what the judges were doing and then I would watch the ride and see how close I could get to how they were scoring. So I kind of enjoyed the watching rodeo and thought I could become a good judge, so I volunteered and spent that weekend in Los Angeles with Casey Jackson from Colorado, who had experience in rodeo long before IGRA started. And she had been a bull rider and a rodeo competitor and she was the training coordinator for the rodeo judges. So I sat with her through that weekend and also then went to the Denver rodeo and the Oklahoma rodeo that year and after three rodeos with my prior experience as well, they felt that I was ready to judge rodeo so I got certified as a judge—the second person to be certified as a judge for the gay rodeo association after the Oklahoma rodeo and I judged my first rodeo in November of 1986 in Dallas. The first year that we had the wild drag race. Which was a disaster, we thought it was going to be a great easy event and as soon as the gates opened, we all started blowing our whistles and stopped the event. And everybody got together to talk about how we could fix this and make it work. ",events;rodeo,
,RS,Do you know what the inspiration for the event was?,,
