timestamp,speaker,words,tags,
,Rebecca Scofield,"So, I'm here with John King and it's July 8th, 2017, and we're in Denver, at the Rocky Mountain Regional Rodeo, so can you tell me when you were born?",,
,John King,"Sure, March the 6th, 1941.",,
,RS,And where did you grow up?,childhood,
,JK,"On a farm in Iowa, southeast Iowa.",childhood,
,RS,What did your parents do for a living?,"childhood, parents",
,JK,"Well, my father was a farmer, but he also ran an insurance agency, and my mother worked as a nurse receptionist in a doctor's office.","childhood, parents",
,RS,And did you have siblings?,"childhood, family",
,JK,"Yes, three.","childhood, family",
,RS,And what did an average day look like when you were growing up?,childhood,
,JK,"An average day? Starting at age 10, or age 9, I had to learn how to milk cows. And, so that would mean that I would have to get up at 5 o'clock, and so in between about 8 or 9 and age 18 when I left for college, almost every day of my life my father woke me up and I got dressed and went out and milked cows, and fed hogs, and chickens, whatever else it takes to make a farm run.",childhood,
,RS,And did you like school?,childhood,
,JK,Did I what?,childhood,
,RS,Did you like school?,"childhood, jobs",
,JK,"Yes, most of the time. ",,
,RS,Did you like college? ,,
,JK,"I ended up, I hated school when they used their, they used their, aptitude tests and put me in the engineering school, and once I found out what an engineer did, and what that would entail, I wasn't interested and so I didn't like school at all. And I was of draft age and so I quit school and worked on the farm until I was about ready to be drafted and then I signed up, to work in the finance department, because I enjoy that. I've been treasurer of just about every organization cause I know the money. And so then when I got out of the service, I knew by that time I wanted to go into business and I got straight A's all the way through and I loved school I loved my professors; I loved bantering with them; I loved preparing challenging reports for them; I loved developing cash flow concepts; I loved all that part, so the answer is:  No at first and yes second.","childhood, jobs",
,RS,That's what we want to hear. Was being in the service hard at all?,jobs,
,JK,"No, for me, well, the first four months, being away from home, since our family farm was forty-four miles away from the university of Iowa, I literally, would save up my dirty clothes and then every three weeks go home and my mother would wash my clothes and I would go back and so, I really didn't learn how to live on my own until I went into the service, and the first 3 months they were a shock. But then after that I had money saved [Phone beeps]… Excuse me, I don't know what he was trying to say. Anyway, excuse me just a second...So, can you imagine. I have rebelled, I do not know how to turn on a computer, I own approximately, to my knowledge I own somewhere around fifty computers stretching from Puerto Vallarta to Chicago, but I do not know how to turn on a computer I had people do that, but when it came to an iPhone I had to learn. [Silence while he types a text message]. Excuse me just a minute you might turn it off. [Pause in recording]",jobs,
2nd file start,RS,So you said you were getting interested in owning a business?,jobs,
,JK,"I, even in the service, I was one of those go to people, and so whenever my company commander needed something, I was able to find it. All the way from army green paints to liquor and cigarettes, and I did everything but pen. So I really had an easy service because they trusted me and after a few months they just let me come and go and long as I delivered what I was expected, they didn't bother me and so I knew that that wouldn't last forever and Vietnam was coming up, and last couple months I was in the service, we had gone over three years, sending like six people on the military aid and advisor group called the MAG assignment, and we were sending six out of the division, last few months we were sending like three hundred a month. And that was still in 1964 and so Johnson, I mean Kennedy had been killed and Johnson was starting the real buildup, and, of course, at that particular point, there were people we sent over that we were closing out their records because they were dead, and so it encouraged me to get out of the army as soon as possible.",jobs,
,RS,"Seems smart. So once you got out and you started looking at businesses, did you know what type of businesses you wanted to do?",jobs,
,JK,"No, I just that I wanted...my father, my grandfather, they were all farmers. It was essentially the businessman. There were four of us children we all, none of us were able to work for somebody else, they always had to be in charge. My sister just died, she had a [inaudible] business that made her a millionaire. My younger brother is a millionaire several times over in a small town, just by buying, holding, fixing it for the state. My older brother had a small chain of convenience stores with gas stations and he sold them and retired and lives in Suprise, Arizona. And I have 5 nightclubs.",jobs,
,RS,Did you ever think you would do nightclubs when you were young?,,
,JK,No.,,
,RS,Did you like nightclubs when you were young?,,
,JK,"Actually, I would say, yeah, when I was in the service I was out at a nightclub probably four nights out of the week.",,
,RS,Did you like dancing?,,
,JK,Yeah.,,
,RS,What kind of dancing did you do?,,
,JK,"Mostly western dancing, at the time there was a couple line type dancing but they were rare, but it was mostly that, and of course western dancing crosses over into the jitterbug rock-and-roll a little bit, whatever it took to get the girl I was dancing with to say yes the next time I asked her.",,
,RS,And did you know you were gay at the time?,homophobia,
,JK,"Since you're younger, you have to understand how the world was at that time. The world, society told you that you would have sinful thoughts, but that if you were married to the right person and you were really in love then those thoughts would go away, and so, of course, I knew I had those thoughts. I was...I had an intimate relationship with somebody between age thirteen and age fifteen. And then I decided that if I didn't stop I would end up being a homo, so I literally abstained from any intimacy from two weeks before I got my driver's license, til I met my wife, my ex-wife. So all the way through the service, I went to bed with people but nothing happened, other than cuddling.",homophobia,
,RS,And how did you meet your ex-wife?,family, 
,JK,"I went back home and she was two years younger than me in the same class that my highschool sweetheart was in, and she was the valedictorian and I knew of her. We were not in the same circles, probably because she was standoffish and kinda snooty, but when I came back she had dyed her hair red and put it into a bob and changed her appearance and become the officer in a sorority and come out quite a little bit, and she caught...and plus I learned a lot more about what...this is the advice that I gave my son and just gave the same advice to my thirteen year old grandson. If you marry somebody who's intelligent, don't be surprised if you have intelligent kids that challenge you a little bit, and if you marry a bimbo, don't be surprised if you end up raising a bimbo. But my three years in the service have me time to think about that, and I decided I didn't want to be raising bimbos.",family,
,RS,And how long were you guys together?,family,
,JK,"Fourteen years. We were really together for ten years, and that's because before we got married we agreed upon the parameters. And after ten years we had accomplished all those, and we sat down to redo the next ten years and there was nothing in common. She had like seven things in which I was not interested in the slightest, and I had like seven things in which she didn't want to do at all. We never had an argument because we always went back, this is the agreement: ""You know what the agrement is."" ""Yup, this is what we agreed to."" But we could never redefine our relationship, and so she's the one, I refused to file for a divorce so she's the one who filed for divorce, but in hindsight I was maybe subtly encouraging her to.",family,
,RS,What did you do for work during those years?,jobs,
,JK,"I used my education and was a loan officer for the small business administration and then, of course, because I believe in my product I bought a restaurant, and within two years I had four restaurants. I sold them out when my franchisor I felt was going backwards and not keeping up with the competition. And became a real estate broker, and then, during the real estate crash of 1979, 1980, that's when I got my divorce. So we split our estate in half, and I took the risky ones and they sort of went to pot. So with what resources I had left I scraped together and opened up a bar, and opened up a gay bar, and I had been out less than a year. ",jobs,
,RS,"Wow, and when did you come out to your family?","comingout, homophobia, family, highlight",
,JK,"It was in, it was about two months after I opened up Charlie's. Charlie and I were together for a total of nine months, he was much younger than me and a good dancer, good dancer. And after...but he, I found out that he was starting to do drugs, and he was not...our value systems were completely, even though he was from Missouri and I was from Iowa, our value systems were completely different. And so I was starting to squeeze him out and he gave me an ultimatum, and listed eight things that he would do if I broke up with him. And I lived under that for two weeks and decided, I'm not, I lived a false life for thirty-nine years I tried, I denied myself any kind of intimacy all the way til age twenty-four when I got married, and I was not going to, I was not gonna start over. So I called his bluff. Well he proceeded to do many of them. And one of them was calling my father and waking him up at 3 o'clock in the morning and not only telling him about my sexual, in those days we called it preference, not your orientation, and described some explicit sexual acts and how much he enjoyed it. And my father never got over it. He cut me out of the will, and put a provision that I could not stay in the family farm house, I couldn't sleep over night there. So I thought it was the end of the world, cause not only was all my stuff going, but Charlie was going and so on. I thought that was the end of the world but within a couple of days I realized I was walking around with a bounce in my step, it was like having a mill stone removed. And he did naughty things, I worked for the SBA, he ran through the SBA shouting I was a faggot, and describing, ""I used to be his lover and that he knew how big my dick is,"" screaming at all those people down the hall I had worked with for six years. The director called me up, we were good friends the district director, he said I know you well, and I don't care who you sleep with, I don't care anything about that, but I really question your judgment on whether or not if this is the class of person you wanna be around, I thought that was funny, and I said, ""I can agree with you totally.""","comingout, homophobia, family, highlight",
,RS,And so Charlie's initially a country western bar from the beginning?,jobs,
,JK,"All country, the first dance song I ever played was late in 1982 and it was ""Gloria,"" and we played it at midnight. We played it at midnight, and it filled the dancefloor and, of course, I had several country people come to me and beat my bees. But I had some other come to me and say it's a fun change, but we were country. I actually, I would, Charlie's would have been a lot busier a lot sooner if I wouldn't have held onto country as long as I did, but I opened up from country, I felt like that community supported me and I wanted to do everything I could, but when it came to the choice of closing or changing, I changed.",jobs,
,RS,Was the first one here in Denver?,jobs,
,JK,Yes.,jobs,
,RS,And what had brought you to Denver?,family,
,JK,"My ex-wife had wanted to live in New York and Washington D.C. or Boston, the furthest west she wanted to live was Chicago. I wanted to live in Albuquerque or Phoenix, and we struggled over that, this is one of the things we agreed to. So I went to Boston I went to New York, went to Chicago, went to Phoenix, went to Albuquerque, went to Denver, we went to Kansas City. And we agreed that we would live in Denver that would be, I would give up my feelings but she wouldn't give up.",family,
,RS,Were you happy in Denver?,,
,JK,"Denver has always been good to me, but I belong in Phoenix, because my blood gets thick and I get so lackadaisical in the wintertime that I don't really care, but in Phoenix my blood is thinner, I remember arriving in Phoenix on July the th 1984. And Wayne Jakino was in charge, left him in charge of Charlie's Denver, and arriving in Phoenix, and it was hot and Kenny and I were having a hard time finding a place and on the third day, I said to him, ""I gave him the keys to the car,"" and I said, ""I don't care where we live, I want you to be happy, here's the checkbook, here's the thing."" And I said, ""I'm gonna go climbing,"" and I went to south mountain and I got up on top of that mountain and I felt wonderful, absolutley wonderful and I got back and he was a little concerned because it turned out it was 114 degrees that day. So I'm the one-in-three people who can go to Phoenix, and it thins your blood and makes you feel more alive. ",,
,RS,Before going to Phoenix did you think of the Southwest as a place?,,
,JK,"Always, always. When I was in, because when I was stationed in Colorado Springs, although I went to TDY, I went on temporary duty to Washington D.C. to Carmel outside San Fransico, I went to Dayton, Ohio, I went to Indianapolis, I went to Washington D.C., and a three day stint in South Carolina, so I had a lot of things to break up those three years, but essentially I lived in Colorado. I didn't like to spend money, I liked to save money, and I discovered the mountains and they were beautiful, and it cost nothing to go hiking. Nothing. At first I used to sleep outside, later on I would carry a flimsy tent with me, but I would just go hiking, I usually made friends and I would usually hiked with somebody, but if nobody wanted to climb with me I would just go. I climbed Pike's Peak twice, I climbed Longs Peak one time, and I'll never do that again. I'll never climb Pikes Peak again either, I was twenty-two one time and I was twenty-three the next year at Pikes Peak, I don't think I could climb it now. But I climbed Devils Head, I never did climb up Mount Evans, Squaw Peak, I don't know I've been over several of the mountains there.",,
,RS,"So you're living in Denver and you had a gay western bar, country bar, when did you hear about gay rodeo?",,
