timestamp,speaker,words,tags,
,Rebecca Scofield,"This is Rebecca Scofield and I am here with Patrick Terry and its October 21st, 2017, and we're at the World Gay Rodeo Finals in Albuquerque, New Mexico. Can you tell me when you were born?",,
,Patrick Terry,"Yes, November 25th, 1957. I celebrate my 60th birthday next month.",,
,RS,Congratulations!,,
,PT,"Yes, I am treating myself to a cruise.",,
,RS,That's gonna be amazing. So where were you born?,,
,PT,"Denver, Colorado.",childhood,
,RS,And...,,
,PT,"Born and raised on the west side, graduated from Almeida High School, and then went on to college and graduated from CU. I have a bachelors in PR and business management.",childhood,
,RS,"So the area you grew up in, was it pretty urban?",childhood,
,PT,"Yes, yes.",childhood,
,RS,Did you grow up as a city kid?,childhood,
,PT,"No. People might say I did it but I didn't 'cause even though I didn't have my own horse, I had people that had them and so I was constantly riding.",childhood,
,RS,Were you pretty horse cray as a kid?,childhood,
,PT,Yes I was. Always have been and still am.,childhood,
,RS,When did you first learn to ride?,childhood,
,PT,"Oh gosh, I would say probably about when I was about 6, 7 years old I first rode and I then I knew. I knew then, and still do, that I love it... So then, you know, through highschool, our highschool didn't offer an equine type of program like that, so I went into the program called the Westernaires, which is a professional riding, I mean kids riding group, that puts on a show for public events.  And when I was in it there was about 15, no there was about 500 people in it, and now there's 2,500.",childhood,
,RS,"Oh, wow.",childhood,
,PT,Yea.,childhood,
,RS,"And to do that, did you have to have your own horse?",childhood,
,PT,"No. And see, I was fortunate enough that my father's boss had a horse and so I was able to do it. But of the four kids, I was the only one who took an interest in doing it, and so I did it and everything else and then, you know, had my own horse for a while and then sold it for different reasons, various finacial and everything. But I always have had that passion to ride and be a part of rodeos and everything else. And so then, I came out as a gay man in 1987 and right away jumped right into it into the western lifestyle and gay rodeo and have gone on from there.",childhood;parents;comingout,
,RS,"And so, when did you first know you were gay?",comingout,
,PT,"Very interesting question, because people a lot of people will say you're born with it. I don't believe that at all. I have gone through two engagements to women and it was during my year that I travelled in Up With People, which is a singing/performing group that travels all over the world, I did that and was a staff member also one year, that I started having feelings because, you know, a lot of times we'd share, 'cause we stayed with host families wherever we went, so a lot of times we'd share a bed with another handsome man. You know, 85% of the men in Up With People are gay because its theater and production and so I started having these feelings and then I was so scared because my brother, my little brother, was gay. And it all came out when he was 16 and it wasn't good- he got caught fooling around in the park, got arrested, you know. My dad had to go bail him out. My dad bailed him out and then kicked him out of the house and wanted nothing to do with him. And so he grew up. And I have always said, he paved the path for me to be able to come out because it was so much easier for me to come out. My father never knew that I was before he passed away but my mom, I told her right away. I said, you know, this is it, I am this. ",comingout;jobs;family;parents;homophobia,
,PT,"And, I mean, my brother had seen me working at a gay bar -he came for the grand opening of this one particular bar- and I was bartending and it was kind of, kind of... not a real good thing but he, rather than talk or say anything, he goes and stands right in front of the register where I was bartending, he and his partner, all night. And so, then he brings it up at thanksgiving, that I have this. And he says you know, what's your extra job that you're doing? 'Cause at the time I was working in retail. At that time I was store, I mean department manager, for the entire mens' department of Bradburry Southwest. I had seven departments in one, 55 employees, 3 assistants, and it was a multimillion dollar business a year. It was big. I was the first one with that company to ever have multiple departments. So I was working there and doing that and then I started, you know, going to gay bars and then all of a sudden they're asking me, ""you wanna bartend?"" and everything and so I did. I went to Charlie's and in 1987, it was probably in August or September, and, right away, they were in the process of moving downtown from the Aurora area, they said, ""you wanna work here?"" and I helped put the new bar together and everything else. Which, ironically was the same place where I went to my senior highschool homecoming dinner. It used to be a restaurant called Emerson Street East. And it's ironic to go back into that building and I was bartending, DJing, waiting, bar backing, and everything.",comingout;jobs;family,
,PT,"And so, after I'd left the other bar and went on with Charlie's, then it was after that because the owner, the general manager, he was one of the founders: Wayne Jakino, he was one of the founders of IGRA and CGRA. Actually, CGRA first and then IGRA. He pushed me into getting more involved. I went to my first rodeo in Phoenix, Arizona, finals rodeo, in 1987 and had a great time and everything else, and I said, ""this is it, I want to"" so I did. And I got in. And so in 1988, I joined CGRA and from there the general manager continued to push me into a position that he had helped create for the international, which was the administrative assistant, and so I took over for a guy that got sick and eventually died of AIDs. I took over 1993, worked in the office as the administrative assistant for 10 years 'till 2003 and then resigned from that for other reasons, you know, which probably aren't so important. But I did that and have been involved basically with gay rodeo since 1988. Have been rodeo director of Denver's rodeo twice, I've been finals rodeo director, can't remember what year... 2013. How can I forget that? 2013 I was finals rodeo director in Fort Worth, Texas, and have served on various committees, not only at CGRA level but also IGRA level. I've been trustee for CGRA twice and have done other things, committees and everything else. Then in 2000... gosh, sorry can't remember, either 2013 or 2012. I think it was 12, I was inducted into the hall of fame. I found out that I was not only nominated once but twice in the same year. The first year that I was nominated I went in as into the hall of fame. It's very dear to me. It's an honor. It's, you know, means a lot. And I've served on that committee and everything else but I had to recuse myself because I was on the committee at the time I was nominated. So the chair said that I had back out of it during the process of them deciding who was gonna make it. And so, I believe it was in 2012, was at convention in Las Vegas, my rodeo mom and dad and my real mom, sister, and her husband came to it and supported me during this time of recognition and everything and so...",jobs;family,
12:12,RS,"So can I ask, going back, what year did you travel with people.",jobs,
,PT,84 and 85,jobs,
,RS,84 and 85 so it was right around there that you came out,comingout,
,PT,"It was after, basically it was towards the end of it in 85 and I was scared at first I saw what my brother had gone through and I was so scared that I stayed in the closet for 2 years before coming out in 1987",comingout,
,RS,And did anything particularly draw you to Charlie's sort of the country western side?,,
,PT,"I loved the music I loved the dancing I loved the animals and through the years I've done various things with IGRA including one of them I was score keeper for several years I did it but i didn't really I didn't like it cause it took me away from the contests and during the 10 years that I was the administrative assistant I worked directly with the contestants and that to me was the thing and so now that I've taken a couple of years of and come back today reassured me I belong with the contests not up in the both but back there so I pulled gates did the gates for the speed events for the horse contests and everybody was really excited to see me, not only see me back cause I've been gone for 2 years but that I was wanting to volunteer I said it's just I can't just sit there and watch there is no way I can go and sit in an audience and not participate",,
,RS,So at the very first rodeo you went to did you compete or did you just watch?,,
,PT,Nope I just watched,,
,RS,What did you think?,,
,PT,"I was hooked, I was hooked and ready to start competing, and started competing in 1988",,
,RS,And what events did you compete in?,events, 
,PT,"I did calf roping on foot, wild drag, steer deco, goat dressing, chute dogging, steer riding, and bull riding, and I competed from 1998 I started competing right away and I competed until I think it was about 1994 95 and then I went into the certification I was getting too old it was too hard to come back from the injuries and at that time we had 20 25 rodeos a year and sometimes we had rodeos that were back to back and so it was hard to recuperate and then go do it again but its it was something I always wanted my mother refused to come watch she I think she supported me she just didn't want to see me you know get hurt. I had my injuries I definitely did broke both collar bones almost every rip and got stepped on and you know its still. Been thinking about it when I started to get back involved with CGRA I started thinking about that I would love to one time go back and steer ride, so possible next year I'm going to do it, just do it one time just satisfy my craving for it because it just it, it is so hard to explain people ask how can you ride a bull and it's so hard to describe because it's in that moment it is the biggest thrill you could ever have and that I always said I'd never dod broncs its too high it's a lot higher up that to fall but drawback is broncs usually don't come back after you and bulls do, only thing I ever really retained I mean injury I had from bull riding was broken collarbone simple fluke fell off and landed on my shoulder and it broke. ","events, injuries",
,RS,What were those early rodeos like in the 80's,,
